title_norm,level_1,level_2
اداره سیر و حرکت اداره کل راه اهن شمالغرب معاون ایستگاه زنجان,1,12
فورمن برق نورد,1,13
سرپرست تامین مواد,1,12
سوپروایزر آموزش و سلامت,1,13
مدیر کارشناس بازرسی وپاسخگویی,1,12
رئیس اداره تولیدات دامی کارشناس,1,13
رئیس نوبتکاری آزمایشگاهها,1,13
رئیس پیگیری حوزه مدیرعامل,1,11
رئیس کارشناس اداره درآمد,1,12
رئیس کارگاه برق,1,13
سرپرست بازرسی فنی و برنامه ریزی,1,13
معاون تحقیقات وتوسعه,1,12
معاون توسعه مدیریت و منابع استاندار,1,11
رئیس اجرایی,1,11
رئیس اداره پاسخگویی به رخدادهای امنیتی و ارتباط با مراکز cert,1,13
معاون رئیس مجتمع,1,13
معاون سازماندهی و تشکیلات,1,12
معاون حقوق بشر و امور بین الملل وزیر دادگستری,1,11
رئیس کتابخانه مرکزی و انتشارات,1,13
سرکارگرپرس,1,13
مدیر امورحقوقی وقراردادها,1,12
تعمیرات برق سرپرست تعمیرات ونگهداری برق,1,13
رئیس اداره انتصابات وترفیعات,1,12
رئیس گروه سیاستگذاری پیش دبستانی,1,13
رئیس گروه عمومی,1,12
مدیربرنامه ریزی,1,12
معاون مدیراداری و منابع انسانی,1,12
مدیرحسابداری مالی,1,12
مسئول شیفت پخت صابون,1,13
مدیرتعاونی مسافربری,1,14
معاون اداره مطالعات و بررسی های اقتصادی,1,12
مسئول کارگاه نت الکتروپمپ,1,13
رئیس اداره سبد ذخائر و سرمایه گذاری,1,12
رئیس اداره فروش بورس و مراکز خدماتی,1,12
سرپرست تدوین مستندات کیفی,1,13
سرپرست تعمیرات تجهیزات دوار,1,13
رئیس اداره امورمالی و ذیحسابی,1,12
رئیس اداره بازار,1,12
رئیس گروه امور استانها و دولت,1,11
سرپرست مدیریت پروژه فولاد سازی,1,13
رئیس شعبه ارزی ریالی ممتاز الف رتبه سه,1,12
سرپرست دبیرخانه هیئت مدیره,1,12
مسئول قسمت تعمیرگاه,1,13
رئیس خدمات مهندسی مکانیک,1,13
مدیر بازرسی مالی,1,12
مدیر ارشد اجرایی,1,11
سرپرست ارشد تولید رادیال,1,13
معاون مدیر کل امور اداری,1,12
رئیس قوه قضاییه,1,11
سرپرست پروژه erp,1,12
رئیس شیفت بهره برداری وتولید,1,13
سرپرست حسابداری و کنترل اسناد,1,12
سرپرست حمل و نقل و ترابری,1,12
سرپرست خدمات برون سازمانی,1,12
سرپرست کنترل کیفی و مونتاژ,1,13
مسئول آموزش و پژوهش,1,13
معاون مدیریت شعب اجرائی,1,12
رئیس باجه خاص رتبه یک,1,12
رئیس بازرسی و پایش,1,12
رئیس هماهنگی پروژه و ستاد,1,12
سرکارگر صدور بستنی,1,13
سرکارگرقطعه سازی,1,13
مدیر تاسیسات بندر امام خمینی,1,13
مسئول خدمات ونقلیه,1,12
مدیر راه اندازی پروژه ها,1,13
رئیس امور ورزش امورمنابع انسانی,1,12
سرپرست ارشد مکانیک و تاسیسات,1,13
مدیرکل پست بانام,1,11
سرپرست امور فنی تولید فولاد,1,13
سرپرست برق دفتر فنی,1,13
سرپرست برنامه ریزی جامع و کنترل عملکردوحسابرسی داخلی,1,12
مدیرگروه اموزشی شیمی,1,13
گروه ایمنی و نظارت بر شبکه اداره کل راه اهن یزد رئیس گروه ایمنی و,1,13
رییس اداره سفارشات,1,12
سرپرست دیگ بخارر,1,13
سرپرست ساخت وتجهیزات,1,13
معاون و مسئول آموزش کارشناس,1,13
رئیس مرکزترویج وخدمات جهادکشاور,1,13
مدیریت خدمات,1,14
مسئول قسمت آمار و برنامه ریزی,1,12
مدیر اموزشگاه خیاطی,1,13
رئیس امور رفاهی و ورزشی,1,12
رئیس بخش it,1,13
رییس تکنولوژی اطلاعات و سیستمهای اطلاعاتی,1,13
رییس ساخت و فیلینگ فراورده های بیولوژیک,1,13
معاونت تعمیرات,1,13
بخشدار مرکزی همتراز,1,11
رییس اداره گزارش دهی وتحلیلهای مالی,1,12
معاون شعبه بانک,1,12
مدیر تامین و پخش دارو و تجهیزات پزشکی,1,12
مسئول کارگاه ماشینکاری,1,13
معاون اموزشی وفناوری,1,13
سرپرست برنامه ریزی تعمیرات نواحی و سرویسها,1,13
سرپرست مرکزی برق,1,13
مدیران کل سوپر مارکت های یا فروشگاههای زنجیره ای,1,14
رییس اداره حسابرسی پروژه ها,1,12
معاون مدیر کل مدیریت بحران,1,11
معاون اداره نصب و راه اندازی سیستمهای مخابراتی,1,13
رئیس دایره تعاونی مصرف,1,14
رییس اداره روابط عمومی وبین الملل,1,12
معاون اداره تمر کز حسابهاوصورتهای مالی,1,12
رییس بخش خون وانکولوژی بیمارستان بهرامی,1,13
سرپرست تولید پرس,1,13
رئیس گروه تنظیم ارتباطات مجلس,1,11
سرپرست عیب یابی و تعمیرات فوری,1,13
سرپرست معاونت کشاورزی,1,13
سرپرست مهندسی ابزار دقیق,1,13
مسئول هماهنگ کننده نگهداری و تعمیرات مکانیک ریخته گری,1,13
سرپرست پروژه های برق و تهویه,1,13
سرپرست پساب صنعتی,1,13
سرپرست کارگاه لوله کشی صنعتی,1,13
فورمن ارشدتولیدمونتاژشماره ووو,1,13
فورمن تعمیرات برق و الکترونیک جرثقیلهای سقفی نورد گرم,1,13
سرپرست تولید گیلدستر,1,13
رئیس اداره شبکه توزیع نیرو,1,13
مدیر کل اداری,1,12
مدیراموربهره برداری تاسیسات,1,13
مدیر خدمات عمومی معدن,1,13
رییس اداره دبیر خانه امور محرمانه,1,12
گروه نظارت بر خط و سازه های فنی اداره کل راه اهن شرق رئیس گروه نظ,1,13
مسئول اداره پژوهش,1,12
رییس فروش محصولات,1,12
سرپرست امور سهام وخزانه,1,12
رئیس هئیت مدیره و مدیرعامل,1,11
مدیر تضمین کیفیت گروه,1,13
رئیس آزمایشگاه فولادسازی وریخته گری مداوم,1,13
سرپرست فروش محصولات فولادی,1,12
رئیس اداره میبد,1,11
سرپرست ارزشیابی عملکرد,1,12
مدیر دفتر مطالعات طرحهای جامع منابع آب,1,13
رییس اداره آموزش و استاندارد سازی نمایندگی های فروش,1,12
معاون مدیر در ساختمان و نصب اجرا,1,13
رئیس مرکز نگهداری وپشتیبانی سیستمهای انتقال,1,13
مدیرتولید مشاغل سخت وزیان آور,1,13
سرپرست غیر تولیدی,1,12
سرپرست قطعات یدکی دفتر فنی امور مهندسی,1,13
رییس تولیدلوله,1,13
رییس گروه مطالعات اسلام و اقتصاد,1,13
سرپرست نت برق ابزار دقیق و اتوماسیون,1,13
سرپرست کارگاه فلزکاری,1,13
فورمن تعمیرات برق نورد مقدماتی,1,13
معاون اداره درجه 1 رتبه یک,1,12
مسئول شیفت نگهداری وتعمیرات مکانیک احیاء,1,13
ریس اداره پست شهرستان,1,12
مدیر مهندسی برق و الکترونیک,1,13
مدیر پشتیبانی فنی,1,13
ریئس اداره,1,12
رییس اداره,1,12
رئیس برنامه ریزی و نگهداری و تعمیرات,1,13
مدیرکل روابط بین اپراتورها,1,12
معاون خدمات رایانه ای,1,13
رئیس رستوران بخش منابع انسانی,1,14
رییس حسابرسی شبکه و شرکتها,1,12
رییس طراحی مکانیک و تاسیسات,1,13
مسئول شیفت کنترل سنگ,1,13
مدیربازرگانی وبازاریاب,1,12
رئیس حفاظت کارکنان,1,12
رئیس تولیدلوله,1,13
سرپرست روابط صنعتی و خدمات پشتیبانی,1,12
مسئول برنامه ریزی کارگاههای عملیات اولیه,1,13
واحد ستاره دار اداره کل نیروی کشش رئیس اداره بازدید واعزام دیزلها,1,13
مدیر خدمات نظافتی,1,14
معاون راهبردی و سیستمها,1,12
معاون حفاظت وامور اراضی,1,11
معاون ذیحساب و مدیر امور مالی سازمان آمو,1,12
مسئول چاپ و انتشارات,1,12
رئیس دایره خدمات و امور تشریفات,1,12
عضو هییت مدیره شرکت صنایع رنگ رزین طیف شرکت خودروسازی,1,11
معاون مدیرتولیدرزین,1,13
رئیس امور بهره برداری,1,13
رئیس اداره تامین مواد شیمیایی و نساجی,1,12
رئیس اداره تعمیرات مکانیک توربین و تجهیزات,1,13
رئیس مهندسی صنایع و تکوین محصول,1,13
رئیس اداره فروش و خدمات مشترکین,1,12
رئیس بیمه رفاه و امورفرهنگی,1,12
سرپرست انتظامات و ایمنی,1,12
سرپرست ایمنی و حفاظت فیزیکی,1,12
رئیس اداره نظارت و بازرسی امور آموزشی و پرورشی,1,13
رئیس اداره امور شعب الف,1,12
رئیس مخزن سازی توزیع ری,1,13
رییس اداره نظارت و پایش عملکرد,1,12
مدیر حسابرسی و کنترل های داخلی,1,12
رییس برنامه ریزی منابع و سفارشات,1,12
مسئول شعبه رنگ,1,13
رئیس برنامه ریزی و کنترل تولید و تعمیرات,1,13
مدیر ارشد اجرائی,1,11
رئیس اداره مهندسی فرآیندهای رنگ,1,13
رئیس دفع آفات هکتاری,1,13
سرپرست تعمیرات ابزار دقیق در سیلو,1,13
مسئول شیفت آتش نشانی و امداد,1,13
جانشین رئیس نگهداری و تعمیرات مکانیک,1,13
سرپرست انبارهای عملیاتی,1,12
سرپرست برنامه ریزی ساخت,1,13
سرپرست برنامه ریزی و نظارت برحمل مواد و تجهیزات,1,12
رییس حقوق و دستمزد,1,12
رییس حمل و نقل جاده ای,1,13
رییس مهندسی تولید رنگ,1,13
رییس مهندسی زراعی,1,13
کارشناس مسئول امور اداری اعضای هیات علمی,1,12
رئیس اداره کنترل قوای محرکه,1,13
مدیر زائر سرا,1,14
رئیس الکترونیک و ابزاردقیق,1,13
رئیس اموزشکده فنیرئیس اموزشکده,1,13
سرپرست بازاریابی داخلی,1,12
مدیرعملیات تکمیلی,1,13
معاون مدیر کل امور شهرسازی,1,11
هماهنگ کننده خدمات پرسنلی ناحیه فولاد سازی و ریخته گری,1,12
معاون مدیریت تحصیلات تکمیلی,1,13
رئیس قسمت رنگرزی پشم,1,13
رئیس مجمع تشخیص مصلحت نظام,1,11
رئیس مهندسی ساختمان و عمران,1,13
رئیس حمل ونقل,1,13
رئیس خدمات و ترابری,1,13
مسئول شیفت دیگهای بخار,1,13
رییس اداره اعتبارات بانک و بیمه,1,12
سرپرست سرورها و نرم افزاری شبکه,1,13
مسوول ارشد خدمات عمومی,1,12
رئیس قراردادهای بهره برداری و عمومی,1,12
رئیس مهندسی اینتریور و ال,1,13
رئیس شعبه درجه دوالف,1,14
مسئول نظارت و کنترل,1,12
مسئول قسمت چاپ,1,13
مسئول ماشینکاری ابزارسازی,1,13
سرپرست طراحی و مهندسی,1,13
رئیس تعمیرات و خدمات پس از فروش,1,13
سرپرست عملیات ارزی,1,12
اداره سیر و حرکت اداره کل راه اهن جنوب لکوموتیوران,1,13
مسئول برنامه ریزی و توسعه سیستم ها,1,13
مسئول شیفت تولیدمایع سفیدکننده,1,13
سرپرست نگهداری وتعمیرات برق فولادسازی,1,13
مسئول خطتولیدکاغذ ماشین کاغذ,1,13
مسئول ناحیه شبکه,1,13
رئیس حوزه خزانه داری و مبادلات,1,12
معاون اداره مطالعات و بررسی های فنی و امور مهندسان مشاور,1,13
رئیس اداره بودجه و اعتبارات,1,12
رئیس آب و خاک و هواشناسی,1,13
معاون بین الملل دانشکده دندانپزشکی,1,13
معاون امور مشتریان و توسعه کسب و کار,1,12
مسئول تولیدسی ان سی,1,13
رئیس اداره امور تولیدات دامی کارشناس,1,13
سرپرست فروش محصولات فرعی وخدمات فنی ومشاوره ای,1,12
سرپرست مدیریت سیستم ها و استراتژی سازمانی,1,12
مدیر ارشد طرح و توسعه,1,12
مدیر جنگل داری,1,13
مدیر حفاظت و پایش محیط زیست,1,13
سرپرست تاسیسات فنی دفتر مرکزی,1,13
مدیر کنترل کیفیت و بهداشت آب وفاضلاب,1,13
مدیر گروه تخصصی پیشگیری و مبارزه با بیماریها,1,13
رئیس اداره طراحی و بازآفرینی فضاهای شهری,1,13
سرپرست برنامه ریزی کارگاه مکانیک,1,13
معاون مدیر کل خدمات فنی ایستگاه,1,13
معاون مدیرجهادکشاورزی سروستان,1,11
مدیرامورتربیت بدنی,1,13
معاون عمران و خدمات شهری,1,11
اداره کل منابع انسانی پشتیبانی ورفاه,1,12
سرکارگرکنترل,1,13
سرپرست انبار محصول و عدلبندی,1,12
مسئول تعمیرکاراتوماسیون وابزاردقیق ناحیه فولادسازی ونوردپیوسته,1,13
مسئول فروش متفرقه و ضایعات,1,12
مسئول ماشین دوخت,1,13
رئیس دفتر معاون هماهنگی و نظارت امور اقتصادی و فنی,1,12
مسئول ساخت ماشین آلات,1,13
رئیس اداره کنترل قرارداد و قیمت,1,12
سرپرست اداره ورزش بانوان,1,13
سوپروایزر ایمنی برق,1,13
رییس تحقیقات و برنامه ریزی محصولات,1,12
رییس تدارکات کارخانه,1,12
سرپرست تولید رینگ ریسندگی,1,13
مدیر دفتر فنی ونظارت,1,13
مدیر دفتر قضایی,1,12
رئیس اداره نظارت بهداشت عمومی,1,13
رییس تاسیسات ضروری خدمات فنی,1,13
مدیر ماشین سازی,1,13
مدیر مدیریت ارزیابی عملکردوپاسخگویی به شکایات,1,12
معاون دایره حسابداری,1,12
جانشین سرپرست تولید,1,13
رئیس مهندسی برق والکترونیک,1,13
سرپرست کنترل عملیات تهیه,1,13
فورمن خط نورد,1,13
فورمن سیلوی,1,13
فورمن محوطه,1,13
مسئول بخش پشتیبانی,1,12
مسئول خط تولید نورد,1,13
رئیس اداره نظارت بر فضای سبز,1,13
سرپرست آزمایشگاه بهداشت صنعتی,1,13
سرپرست اداره آزمایشگاه ها,1,13
رئیس امورکارکنان,1,12
شیفت فورمن خطوط نهایی و انیار,1,13
مدیریت واحد روابط کار,1,12
ذیحساب و مدیرکل امور مالی وزارت ارتباطات,1,12
رئیس اداره آزمایشگاه رنگ وشیمی,1,13
رئیس اداره آماده سازی و تحویل دو,1,13
رئیس اداره بررسیهای حقوقی,1,12
رئیس گروه برنامه ریزی امایش و بهره وری,1,12
رئیس گروه تعمیرات تجهیزات دوار و دیزل منطقه دسترسی آزاد,1,13
رئیس مکانیک کارخانه,1,13
رئیس کتابخانه کارشناس,1,13
مدیر امور حوزه دفتر مدیرعامل,1,12
مدیر کارگاههای احیا,1,13
مسئول تعمیرات و خدمات پس از فروش,1,13
رئیس اداره ابزارو ماشین آلات,1,13
رئیس گروه توسعه روستایی کارشناس,1,13
سرپرست مرکزایمنی وبهداشت,1,13
سرپرست اداره خرید خارجی فلزات,1,12
رئیس اداره مهندسی فرایندهای سازمانی,1,12
رئیس اداره نگهداری و تعمیرات آزمایشگاه حفاظت و فشار قوی,1,13
سوپروایزراموزش ضمن خدمت,1,12
مدیر دفتر مطالعات و نظارت,1,12
مشاور و نماینده تام اختیار مدیر عامل,1,11
مشاور مدیر عامل و بازرس شرکت,1,11
رئیس بررسی و بهبود روشها و تحلیل فرایندها,1,12
رئیس برندینگ,1,12
سرپرست اسپردینگ,1,13
رییس تولیدلامپ معمولی,1,13
رییس خدمات اداری وکارقراردادی,1,12
رییس خرید مواد مصرفی تولید,1,12
مدیریت شرکت پلی استر,1,11
رییس مسابقات ورزشی,1,14
سرپرست تعمیرات تغلیظ,1,13
رئیس توسعه منابع اسانی و اقتصاد کار,1,12
سرپرست راهبری عملیات معدن,1,13
سرپرست شیفت ابکاری,1,13
سرپرست شیفت تغلیظ,1,13
سرپرست عملیات تحویل خودرو,1,13
رئیس حسابداری انبار و اموال,1,12
رئیس خرید مواد مصرفی تولید,1,12
سرپرست شیفت کنترل نهایی کابل برق وتلفن,1,13
متصدی شیفت نجاری,1,13
مسئول امور اداری وکارگزینی,1,12
سرپرست کنترل کیفیت محصولات نیمه ساخته,1,13
معاون اداره کل معاون اداره معاملات,1,12
فرمن یک دستگاه شامپوپرکنی پرمترین,1,13
سرپرست مکانیک آسیاب های مواد خام,1,13
معاون اداره تعاون،کارورفاه اجتماعی شهرستان ابهر,1,11
معاون اداره کل حوزه شهردار و امور شورای اسلامی شهر,1,11
رییس حسابداری انبار و اموال,1,12
معاون مدیر دفتر مدیر عامل و هیات مدیره,1,12
مدیر حوزه ریاست سازمان,1,12
مدیر جهادکشاورزی شهرستان دزفول,1,11
مسئول اموربازرگانی,1,12
رییس اداره امورمالی,1,12
رییس گروه تبادل اطلاعات و فروش,1,12
مدیریت امور فرهنگی,1,14
سرپرست استان,1,11
سرپرست پرورش مرغ,1,13
مدیرامو راجرایی طرحهای آبرسانی به شهرهای مرکزی خوزستان,1,13
مسئول شعبه ابکاری,1,13
رئیس بازاریابی فروش و صادرات,1,12
مدیرکل تداوم صلاحیت پرواز کامو,1,13
اداره کل ساخت و توسعه شبکه راه ها منطقه یک,1,13
رئیس اداره تکنولوژی گروههای اموزشی وبررسی محتوا متوسطه,1,13
رئیس اداره حسابرسی بیمه و درمان,1,12
رئیس کارگاه بازسازی ونمونه سازی,1,13
سرپرست برق ماشین الات,1,13
سرپرست تامین خدمات و اقلام کمک تولیدی,1,12
رئیس پایداری محیط زیست,1,13
مدیر برق و اتوماسیون صنعتی,1,13
مدیر تعویض روغنی,1,14
رئیس گروه حسابرسی الیاتی,1,12
سرپرست مدیریت برنامه ریزی و فناوری اطلاعات,1,12
قایم مقام مدیرعامل دراموراجرایی,1,11
رئیس فنی وماشین سازی,1,13
معاون ذیحساب امورمالیاتی مازندران,1,12
معاون دبیرستان کارودانش,1,13
معاون ذیحساب اداره کل اموزش و پرورش خراسان رضوی,1,12
سرکارگرپارچه خام تکمیل ورنگرزی حریر,1,13
رئیس خطوط نهائی و تکمیل نورد گرم,1,13
سرپرست ارزشیابی و بهره وری,1,12
رئیس تاسیسات ضروری خدمات فنی,1,13
رییس توسعه منابع اسانی و اقتصاد کار,1,12
رییس نظارت وکنترل حمل ونقل سنگین,1,13
رییس چاپ افست روتاسیون,1,13
رییس قسمت دریافت و پرداخت,1,12
سرپرست خطوط اصلی zone مونتاژ گیربکس تیبا,1,13
معاون وصول مطالبات و اجراء,1,12
رئیس اداره عمران و حمل و نقل,1,13
مدیرامور مالی,1,12
معاون اداره نقشه برداری,1,13
معاون مدیر کل امور قضایی,1,11
ناظمه اقامتگاه رقیه همتی,1,14
رئیس دفتر مدیریت پروژه ها,1,12
رئیس سالن صنایع جانبی,1,13
رییس تعمیرات قبل از کوره ها,1,13
رییس دریافت و کنترل ورودی کالا,1,12
سرپرست نگهداری و تعمیرات ساخت و نقاشی,1,13
رئیس دفترفنی نگهداری و تعمیرات,1,13
سرپرست تولید رنگکاری,1,13
سرپرست تکمیل سالن رنگرزی,1,13
سرپرست جانشین آزمایشگاه,1,13
سرکارگرخشکن,1,13
سرکارگرژیگر,1,13
سرکارگرکارگاه ساخت کولرگازی,1,13
مدیر امور بهره برداری و توسعه تاسیسات آب,1,13
مدیر امور دانشجویان شاهد وایثارگر,1,13
مدیر تامین منابع نالی طرح و توسعه,1,12
معاون بهداشتی رئیس مرکز بهداشت,1,13
مسئول خط آبکاری,1,13
رئیس اداره منابع طبیعی کوهبنان,1,13
سرپرست آزمایشگاه ایکس ری,1,13
سرپرست روپوش طوسی,1,13
مدیر پشتیبانی و نوسازی,1,12
سرپرست ریاست برنامه ریزی و سیستم ها,1,12
سرپرست شیفت تولیدfh,1,13
معاون مدیرکل حالت اشتغال,1,12
رئیس قراردادهای پیمانکاری,1,12
رئیس مرکز ارتباط با مشتریان و شبکه نمایندگیهای گروه,1,12
سرپرست کنترل اسناد و رسیدگی به شکایات,1,12
رئیس ائاره امور عمومی,1,12
سرپرست محوطه,1,13
مسئول نمایندگی ورزش و جوانان بخش جانباز حالت اشتغال,1,13
رئیس اداره پشتیبانی و راه اندازی دیتا,1,13
رئیس اداره کیفیت قطعات تزئینات,1,13
رئیس گروه نظارت و اجرای بودجه,1,12
مدیر دفترروابط عمومی و آموزش همگانی,1,12
مدیر صنایع و سیستم ها,1,13
رئیس اداره تعاون کار و رفاه اجتماعی,1,12
رئیس اداره تمرکز وجوه و اعتبارات,1,12
مسئول تعمیرات مکانیکی خودرو,1,13
سرپرست ترمیم,1,13
سرپرست سالن تولید سنگ,1,13
مدیر مهندسی برق و الکترو تکنیک,1,13
معاون عمران,1,13
مدیر باشگاه فرهنگی هنری و ورزشی,1,14
رئیس هماهنگی و پیگیریهای حوزه مدیریت,1,12
سرپرست انرژی حرارتی,1,13
سرپرست برش ورق ومفتول,1,13
مدیرطراحی و مکانیک,1,13
مدیرکل امور مالی و ذیحسابی,1,12
معاون حسابرسی مالیاتی مرکز استان,1,12
معاون امور ازمونها,1,13
معاون ازمایشگاه مرکزی شیمی,1,13
رئیس گروه فناوری آماروااطلاعات آموزشی,1,13
سرشیفت اتصالات ـپلاستیلوکس,1,13
مدیر تحقیق و توسعه ماهیران,1,13
معاون برنامه ریزی توسعه منابع و پشتیبانی,1,12
معاون ارزی,1,12
ذیحساب سازمان صنعت معدن و تجارت استان ایلام,1,12
رئیس اداره امور ترفیعات و انتقالات,1,12
رئیس اداره امورحفاظت پرسنلی,1,12
رئیس گروه برنامه ریزی وبودجه,1,12
سرشیفت تکمیل محصول,1,13
رییس شرکت,1,11
سرپرست دریافت و صدور کالا,1,12
سرپرست وکمک پرسکاری,1,13
معاون مهندسی و طراحی معدن,1,13
واحد ستاره دار اداره کل تدارکات و پشتیبانی رئیس اداره انبارها,1,12
مدیر آزمایشگاه کارخانه,1,13
مسئول برق ومسئول مکانیک وسرشیفت تعمیرات,1,13
مسئول شیفت تعمیرات سالنها,1,13
معاون اداره منابع طبیعی وابخیزداری شهرستان اهواز,1,13
رئیس اداره برنامه ریزی و بهبود فرآیندهای بازاریابی و فروش,1,12
رئیس اداره تولیدنیرو,1,13
رئیس اداره دبیرخانه و کارگزینی,1,12
رئیس اداره مهندسی لجستیک و بسته بندی,1,13
رئیس اداره پشتیبانی فنی سیستمهای مخابراتی,1,13
سرکارگر عملیات معدن,1,13
پرسکارارشد سرشیفت پرس,1,13
معاون ارزی شعبه ممتاز ب,1,12
مسئول نگهداری و تعمیرات برق و ابزار دقیق تصفیه آب,1,13
معاون امور بازنشستگی,1,12
رئیس گروه بودجه سرمایه ای,1,12
مسئول تعمیرات تاسیسات برقی,1,13
رئیس عملیات حفاری واستخراج معادن,1,13
رییس توسعه سیستمها ونرم افزارها,1,13
سرپرست جمعداری اموال,1,12
مسئول شیفت مدارهای ماسه,1,13
رئیس دفتر تحقیق و توسعه,1,13
رییس دفتر تحقیق و توسعه,1,13
سرپرست شیفت استخراج,1,13
سرپرست گردگیریها,1,13
فورمن تعمیرات مکانیک جنبی وپاتیل و rh,1,13
مسئول بخش جمع آوری اطلاعات,1,12
مسئول نگهداری و پشتیبانی سیستمهای مخابراتی,1,13
رئس امور حسابرسی مالیاتی,1,12
رئیس اداره ارزیابی عملکرد وپاسخگویی به شکایات,1,12
رئیس اداره اعتبارات وتعهدات,1,12
رئیس اداره امور شعب درجه 2,1,12
معاون کتابخانه مرکزی و مرکز اسناد و اطلاع رسانی,1,13
سرپرست نظارت بر اماکن عمومی,1,12
اداره منابع انسانی و رفاه اداره کل راه اهن اصفهان مسئول امور عموم,1,12
سرپرست کیفیت قطعات ورودی استاندارد,1,13
سرپرست گلیسرین وتجزیه چربی,1,13
مدیر آزمایشگاه کنترل کیفیت,1,13
مسئول بخش ریخته گری,1,13
رئیس اداره امورتولیدات دامی و گیاهی,1,13
رییس تولید فولادسازی و نورد پیوسته,1,13
رئیس گروه مطالعات بهره برداری,1,13
سرپرست اداره سیستم های مکانیزه مالی اداری و بازرگانی,1,12
مدیر طرح وبرنامه ریزی,1,12
مدیر مجامع و حسابرسی,1,12
رئیس گروه برنامه ریزی اقتصادی و بودجه,1,12
سرپرست ماشین الات ساختمانی,1,13
سرپرست مدیریت تاسیسات و انرژی,1,13
سرپرست مهندسی تولید و کنترل احیاء,1,13
رئیس گروه منابع و تسهیلات,1,12
سرپرست خدمات انبارها,1,12
مدیر امنیت سایبری و فناوری اطلاعات,1,13
رییس اداره تحلیل های اقتصادی و ممیزی پرداختها,1,12
معاونت پشتیبانی وتوسعه,1,12
سرپرست شیفت خط تولید نورد,1,13
معاون مرکز بهداشت جنوب,1,13
سرپرست مکانیک و سیالات پروژه ها,1,13
رئیس فرآیندها و سیستم های اطلاعاتی,1,13
سرپرست حسابداری بودجه و بهای تمام شده,1,12
سرپرست حلاجی تافلایر,1,13
معاونت فنی و مهندسی,1,13
رییس اداره کنترل اسناد فنی,1,12
رئیس اداره حسابداری خزانه داری,1,12
رئیس چاپ و تکمیل,1,13
سرکارگر اسیدشویی قطعات و آماده سازی باطری,1,13
مدیر آموزش و آزمون فنی و تخصصی هواپیما,1,13
رییس پیگیری و تامین قطعات خام,1,12
قائم مقام مدیرعامل دراموراجرایی,1,11
مدیرپرورش منابع انسانی,1,12
مدیرعامل و عضو هیئت مدیره شرکت سایپا شیشه,1,11
مدیرکل عملیات شبکه,1,13
سرپرست طراحی و برآورد,1,13
رییس اداره بودجه و اعتبارات,1,12
ارشد تولید,1,13
رئیس اداره برنامه ریزی و کنترل تولید کشاورزی,1,13
رئیس واحد بهره برداری,1,13
مدیر آموزش و پژوهش,1,13
رئیس تعمیرات نسوز فولاد سازی,1,13
مدیر بخش تعالی سازمان بخش تعالی سازمان,1,12
معاون فنی استان,1,13
رئیس اداره برنامه ریزی واجرای دوره های آموزشی,1,13
رئیس ناحیه خدمات فنی و پشتیبانی فروش,1,12
رئیس اداره نظارت و اعتبار بخشی امور درمان,1,13
سرکارگر انبار محصول رنگرزی,1,13
سرپرست بازرسی,1,13
مدیر تامین منابع و خزانه داری,1,12
معاون تعمیرات رنگرزی وتکمیل,1,13
رئیس اداره ارزیابی عملکرد کسب و کار ستادی,1,12
سرشیفت تعمیرات جرثقیل,1,13
مسئول کارگاه تعمیرات خط راه آهن,1,13
سرپرست سیستم های اطلاعاتی مالی و اداری,1,12
سرپرست بایشگاه غذاخوری,1,14
سرپرست برشی,1,13
معاون اداره کل توسعه منابع انسانی,1,12
معاون اداره خدمات,1,12
سرپرست رنگ و چاپ بسته بندی,1,13
کارشناس مسئول مدیران امور,1,12
مسئول تاسیسات,1,13
فورمن قسمت موادساز,1,13
کارشناس مسئول امور پزوهشی,1,13
رئیس اداره کادر اداری,1,12
رئیس کنترل موجودی,1,12
رییس اداره حراست پرسنلی و اسناد,1,12
سرپرست کنترل فرآیند تولید,1,13
رئیس طراحی سازمان,1,12
رئیس طراحی و اجرای پروژهای انرژی و سیالات و واحدهای جنبی,1,13
رییس حسابداری پروژه ها و دارایی ثابت,1,12
سرپرست حفاظت کار ایمنی و بیمه,1,12
سرپرست نگهداری و تعمیرات برق ماشین ابزار,1,13
کارشناس مسئول برنامه ریزی تعمیرات و تامین قطعات,1,13
مامور در سطح مدیرمستقل,1,12
مدیر فنی و اجرایی,1,13
مدیر مطالعات و برنامه ریزی استراتژیک,1,12
سردسته درجه 2,1,13
رییس اداره طراحی سیستمهای تبادل گاز سوخت و احتراق,1,13
رئیس دایره نظارت تصویری,1,12
سرپرست شیفت محصول,1,13
سرپرست تولید ریسندگی,1,13
مدیر صادرات و واردات,1,12
مسئول کارگاه تراشکاری و فلــز کاری,1,13
مسئول کارگاه نگهداری و تعمیرات,1,13
سرپرست بسته بندی ثانویه,1,13
سرپرست خطوط قالب ریزی,1,13
مدیر نظارت و ارزیابی و تضمین کیفیت,1,13
مدیر کارگاه تولید لباس,1,13
رئیس توسعه و پیاده سازی,1,13
رئیس ایمنی آتش نشانی و محیط زیست,1,12
رئیس فروش و بازاریابی داخلی,1,12
رییس برنامه ریزی وکنترل پروژه های آب,1,13
رییس حسابرسی و کنترل های داخلی,1,12
سرپرست درجه 1 تزئینی,1,13
رییس امور فرهنگی تبلیغات و امور فرهنگی,1,12
مدیر عامل استان,1,11
رییس اداره تدارکات وپشتیبانی,1,12
